hour_of_day,0,1,2,3,4,5,6
0.0,21.0,34.0,43.0,47.0,51.0,89.0,106.0
0.1,39.0,22.0,27.0,37.0,56.0,87.0,100.0
0.2,31.0,24.0,26.0,42.0,50.0,98.0,77.0
0.3,26.0,27.0,25.0,29.0,52.0,99.0,87.0
0.4,19.0,24.0,29.0,29.0,50.0,98.0,69.0
0.5,16.0,23.0,20.0,25.0,52.0,70.0,58.0
0.6,21.0,14.0,22.0,25.0,42.0,58.0,83.0
0.7,16.0,10.0,17.0,17.0,32.0,64.0,61.0
0.8,11.0,8.0,13.0,17.0,27.0,71.0,61.0
0.9,11.0,8.0,6.0,15.0,33.0,66.0,63.0
1.0,8.0,9.0,15.0,9.0,26.0,66.0,68.0
1.1,6.0,11.0,11.0,9.0,37.0,58.0,65.0
1.2,14.0,12.0,13.0,14.0,38.0,61.0,59.0
1.3,8.0,5.0,10.0,17.0,20.0,45.0,63.0
1.4,10.0,10.0,3.0,16.0,23.0,55.0,59.0
1.5,6.0,4.0,9.0,9.0,26.0,49.0,75.0
1.6,4.0,4.0,14.0,10.0,25.0,48.0,65.0
1.7,5.0,5.0,8.0,15.0,25.0,51.0,63.0
1.8,4.0,4.0,5.0,4.0,25.0,39.0,62.0
1.9,3.0,4.0,6.0,6.0,19.0,43.0,55.0
2.0,3.0,10.0,5.0,9.0,22.0,52.0,55.0
2.1,4.0,10.0,6.0,5.0,23.0,43.0,43.0
2.2,1.0,10.0,5.0,7.0,18.0,36.0,50.0
2.3,4.0,3.0,5.0,8.0,21.0,36.0,46.0
2.4,4.0,3.0,5.0,2.0,24.0,43.0,36.0
2.5,5.0,2.0,3.0,7.0,11.0,30.0,34.0
2.6,6.0,2.0,2.0,1.0,8.0,24.0,43.0
2.7,3.0,2.0,2.0,2.0,11.0,25.0,36.0
2.8,5.0,2.0,2.0,3.0,9.0,33.0,25.0
2.9,2.0,,4.0,1.0,8.0,33.0,38.0
3.0,,1.0,3.0,1.0,15.0,21.0,47.0
3.1,3.0,2.0,1.0,3.0,8.0,27.0,44.0
3.2,1.0,,4.0,1.0,2.0,17.0,36.0
3.3,2.0,1.0,3.0,2.0,9.0,16.0,17.0
3.4,3.0,4.0,1.0,4.0,6.0,16.0,16.0
3.5,2.0,2.0,2.0,2.0,3.0,17.0,24.0
3.6,4.0,3.0,3.0,2.0,2.0,9.0,23.0
3.7,5.0,2.0,3.0,1.0,7.0,6.0,22.0
3.8,5.0,6.0,3.0,2.0,6.0,16.0,16.0
3.9,2.0,3.0,3.0,2.0,7.0,13.0,16.0
4.0,1.0,2.0,2.0,3.0,5.0,6.0,7.0
4.1,2.0,3.0,2.0,2.0,3.0,7.0,6.0
4.2,2.0,1.0,1.0,5.0,3.0,9.0,9.0
4.3,,3.0,,5.0,2.0,7.0,11.0
4.4,1.0,6.0,4.0,3.0,2.0,3.0,5.0
4.5,2.0,2.0,5.0,2.0,,3.0,3.0
4.6,5.0,2.0,3.0,7.0,3.0,3.0,8.0
4.7,7.0,5.0,9.0,5.0,10.0,3.0,5.0
4.8,9.0,11.0,14.0,8.0,10.0,5.0,2.0
4.9,11.0,14.0,20.0,9.0,10.0,5.0,5.0
5.0,17.0,11.0,23.0,10.0,14.0,2.0,6.0
5.1,14.0,20.0,26.0,18.0,30.0,2.0,4.0
5.2,28.0,37.0,34.0,28.0,26.0,2.0,6.0
5.3,37.0,47.0,61.0,58.0,42.0,6.0,5.0
5.4,32.0,68.0,66.0,67.0,52.0,9.0,9.0
5.5,51.0,67.0,85.0,74.0,69.0,7.0,2.0
5.6,53.0,55.0,66.0,68.0,82.0,9.0,5.0
5.7,90.0,86.0,108.0,123.0,93.0,8.0,6.0
5.8,93.0,112.0,110.0,120.0,97.0,18.0,12.0
5.9,105.0,139.0,132.0,135.0,102.0,15.0,10.0
6.0,105.0,111.0,145.0,120.0,109.0,20.0,9.0
6.1,95.0,125.0,158.0,124.0,103.0,14.0,16.0
6.2,135.0,158.0,164.0,167.0,132.0,24.0,13.0
6.3,149.0,166.0,203.0,180.0,169.0,17.0,10.0
6.4,149.0,175.0,187.0,211.0,131.0,41.0,19.0
6.5,156.0,195.0,200.0,238.0,151.0,39.0,13.0
6.6,205.0,252.0,290.0,255.0,193.0,40.0,14.0
6.7,210.0,272.0,351.0,352.0,260.0,48.0,20.0
6.8,218.0,277.0,336.0,339.0,257.0,37.0,31.0
6.9,240.0,286.0,363.0,370.0,280.0,55.0,30.0
7.0,273.0,320.0,406.0,389.0,275.0,69.0,26.0
7.1,324.0,367.0,482.0,466.0,378.0,59.0,29.0
7.2,398.0,460.0,517.0,514.0,335.0,70.0,33.0
7.3,369.0,430.0,504.0,545.0,387.0,68.0,39.0
7.4,433.0,434.0,608.0,613.0,435.0,60.0,37.0
7.5,491.0,528.0,647.0,644.0,535.0,69.0,50.0
7.6,532.0,589.0,733.0,740.0,514.0,82.0,46.0
7.7,603.0,646.0,793.0,836.0,635.0,108.0,60.0
7.8,642.0,763.0,915.0,910.0,680.0,104.0,81.0
7.9,676.0,727.0,893.0,905.0,756.0,104.0,76.0
8.0,736.0,756.0,906.0,1021.0,792.0,127.0,74.0
8.1,761.0,804.0,984.0,1031.0,796.0,134.0,105.0
8.2,803.0,865.0,1130.0,1140.0,890.0,127.0,95.0
8.3,914.0,924.0,1083.0,1178.0,975.0,145.0,97.0
8.4,826.0,966.0,1121.0,1229.0,988.0,161.0,103.0
8.5,919.0,1003.0,1135.0,1233.0,1021.0,148.0,120.0
8.6,886.0,986.0,1092.0,1249.0,1095.0,239.0,161.0
8.7,917.0,983.0,1125.0,1223.0,1108.0,261.0,141.0
8.8,868.0,949.0,1035.0,1094.0,1075.0,228.0,150.0
8.9,770.0,822.0,903.0,898.0,883.0,185.0,134.0
9.0,694.0,582.0,709.0,834.0,725.0,200.0,116.0
9.1,569.0,569.0,667.0,703.0,640.0,209.0,144.0
9.2,532.0,534.0,640.0,688.0,597.0,238.0,155.0
9.3,481.0,478.0,521.0,588.0,570.0,223.0,161.0
9.4,433.0,387.0,436.0,492.0,486.0,308.0,189.0
9.5,331.0,367.0,399.0,430.0,385.0,274.0,197.0
9.6,304.0,339.0,383.0,392.0,411.0,341.0,232.0
9.7,287.0,279.0,341.0,370.0,363.0,384.0,253.0
9.8,227.0,266.0,311.0,302.0,352.0,355.0,256.0
9.9,204.0,213.0,289.0,280.0,301.0,361.0,262.0
10.0,225.0,223.0,241.0,251.0,282.0,284.0,248.0
10.1,195.0,210.0,240.0,259.0,258.0,311.0,245.0
10.2,185.0,201.0,221.0,204.0,234.0,328.0,259.0
10.3,161.0,173.0,189.0,222.0,258.0,326.0,292.0
10.4,144.0,161.0,200.0,184.0,202.0,344.0,319.0
10.5,138.0,156.0,180.0,205.0,218.0,353.0,328.0
10.6,148.0,153.0,201.0,203.0,204.0,390.0,371.0
10.7,170.0,151.0,203.0,201.0,214.0,420.0,354.0
10.8,165.0,180.0,182.0,194.0,216.0,387.0,334.0
10.9,129.0,125.0,192.0,218.0,180.0,321.0,315.0
11.0,149.0,143.0,153.0,173.0,184.0,405.0,351.0
11.1,168.0,150.0,155.0,193.0,245.0,381.0,355.0
11.2,162.0,165.0,179.0,214.0,222.0,389.0,365.0
11.3,178.0,151.0,197.0,220.0,249.0,403.0,369.0
11.4,166.0,146.0,191.0,207.0,230.0,402.0,425.0
11.5,189.0,163.0,204.0,237.0,231.0,382.0,359.0
11.6,210.0,224.0,235.0,296.0,306.0,407.0,412.0
11.7,271.0,209.0,301.0,281.0,323.0,434.0,382.0
11.8,254.0,238.0,299.0,335.0,347.0,470.0,405.0
11.9,240.0,204.0,272.0,290.0,365.0,455.0,402.0
12.0,230.0,233.0,276.0,292.0,320.0,424.0,392.0
12.1,243.0,225.0,289.0,276.0,367.0,461.0,396.0
12.2,244.0,256.0,303.0,309.0,375.0,442.0,412.0
12.3,241.0,222.0,296.0,296.0,363.0,465.0,493.0
12.4,263.0,243.0,274.0,304.0,345.0,448.0,492.0
12.5,219.0,246.0,294.0,299.0,318.0,419.0,438.0
12.6,231.0,232.0,253.0,295.0,356.0,397.0,400.0
12.7,273.0,242.0,238.0,325.0,345.0,469.0,458.0
12.8,265.0,272.0,274.0,302.0,337.0,500.0,427.0
12.9,277.0,247.0,297.0,311.0,340.0,478.0,420.0
13.0,279.0,251.0,263.0,321.0,383.0,404.0,440.0
13.1,281.0,278.0,283.0,345.0,399.0,457.0,404.0
13.2,253.0,232.0,246.0,333.0,371.0,420.0,419.0
13.3,257.0,241.0,272.0,336.0,354.0,462.0,458.0
13.4,230.0,241.0,238.0,320.0,356.0,379.0,378.0
13.5,261.0,232.0,227.0,316.0,337.0,431.0,417.0
13.6,253.0,219.0,237.0,284.0,314.0,446.0,420.0
13.7,249.0,241.0,249.0,289.0,300.0,451.0,444.0
13.8,238.0,215.0,282.0,287.0,317.0,442.0,483.0
13.9,212.0,189.0,241.0,262.0,305.0,414.0,410.0
14.0,251.0,232.0,228.0,257.0,290.0,431.0,435.0
14.1,198.0,237.0,241.0,287.0,295.0,414.0,401.0
14.2,208.0,201.0,206.0,240.0,299.0,440.0,420.0
14.3,216.0,187.0,242.0,241.0,309.0,408.0,415.0
14.4,209.0,198.0,196.0,235.0,293.0,391.0,413.0
14.5,219.0,186.0,203.0,262.0,283.0,391.0,436.0
14.6,185.0,196.0,180.0,248.0,276.0,396.0,433.0
14.7,209.0,227.0,241.0,244.0,319.0,466.0,442.0
14.8,211.0,222.0,274.0,255.0,284.0,416.0,450.0
14.9,203.0,223.0,242.0,229.0,303.0,402.0,439.0
15.0,218.0,247.0,259.0,303.0,327.0,413.0,429.0
15.1,224.0,250.0,279.0,301.0,324.0,402.0,410.0
15.2,231.0,253.0,212.0,304.0,344.0,469.0,442.0
15.3,220.0,239.0,234.0,279.0,352.0,431.0,431.0
15.4,220.0,238.0,240.0,299.0,338.0,429.0,435.0
15.5,235.0,241.0,266.0,296.0,346.0,442.0,393.0
15.6,291.0,264.0,274.0,334.0,348.0,433.0,416.0
15.7,319.0,323.0,339.0,394.0,363.0,446.0,442.0
15.8,282.0,349.0,322.0,353.0,384.0,422.0,393.0
15.9,328.0,343.0,345.0,374.0,427.0,425.0,400.0
16.0,384.0,404.0,414.0,447.0,495.0,388.0,389.0
16.1,358.0,406.0,421.0,458.0,478.0,401.0,396.0
16.2,356.0,396.0,445.0,458.0,463.0,418.0,418.0
16.3,386.0,417.0,410.0,454.0,479.0,426.0,419.0
16.4,377.0,417.0,426.0,428.0,527.0,373.0,394.0
16.5,427.0,479.0,525.0,598.0,544.0,421.0,412.0
16.6,532.0,543.0,610.0,600.0,552.0,453.0,382.0
16.7,509.0,605.0,599.0,664.0,578.0,447.0,381.0
16.8,555.0,610.0,642.0,674.0,633.0,367.0,396.0
16.9,591.0,658.0,697.0,722.0,672.0,396.0,423.0
17.0,827.0,848.0,879.0,899.0,716.0,353.0,360.0
17.1,908.0,1012.0,995.0,1054.0,913.0,366.0,393.0
17.2,967.0,1058.0,1003.0,1077.0,879.0,376.0,384.0
17.3,971.0,1003.0,1051.0,1071.0,902.0,354.0,376.0
17.4,935.0,1085.0,994.0,1055.0,888.0,382.0,386.0
17.5,948.0,1138.0,1060.0,1140.0,908.0,374.0,343.0
17.6,970.0,1090.0,1085.0,1160.0,856.0,337.0,348.0
17.7,1012.0,1063.0,1110.0,1148.0,861.0,351.0,329.0
17.8,911.0,1018.0,1041.0,1158.0,750.0,342.0,349.0
17.9,921.0,991.0,993.0,1040.0,748.0,357.0,344.0
18.0,876.0,1027.0,1050.0,1193.0,666.0,347.0,305.0
18.1,912.0,995.0,1007.0,1124.0,749.0,304.0,333.0
18.2,976.0,1030.0,962.0,1080.0,742.0,339.0,309.0
18.3,900.0,951.0,870.0,1074.0,703.0,337.0,315.0
18.4,784.0,920.0,890.0,939.0,670.0,350.0,307.0
18.5,766.0,893.0,798.0,864.0,638.0,312.0,266.0
18.6,746.0,808.0,748.0,943.0,590.0,287.0,262.0
18.7,727.0,754.0,791.0,907.0,575.0,297.0,275.0
18.8,631.0,761.0,734.0,852.0,542.0,295.0,255.0
18.9,598.0,707.0,622.0,724.0,519.0,273.0,257.0
19.0,555.0,664.0,602.0,666.0,453.0,239.0,237.0
19.1,564.0,588.0,608.0,677.0,436.0,255.0,266.0
19.2,513.0,588.0,613.0,646.0,428.0,270.0,249.0
19.3,470.0,624.0,520.0,614.0,366.0,251.0,182.0
19.4,458.0,511.0,511.0,635.0,381.0,255.0,191.0
19.5,407.0,501.0,505.0,578.0,342.0,229.0,165.0
19.6,396.0,490.0,436.0,575.0,345.0,217.0,186.0
19.7,396.0,449.0,480.0,508.0,354.0,211.0,153.0
19.8,390.0,422.0,453.0,504.0,285.0,227.0,161.0
19.9,356.0,449.0,425.0,469.0,320.0,219.0,154.0
20.0,347.0,385.0,394.0,466.0,294.0,204.0,166.0
20.1,324.0,356.0,440.0,458.0,279.0,193.0,161.0
20.2,281.0,340.0,388.0,412.0,259.0,209.0,152.0
20.3,277.0,338.0,369.0,428.0,251.0,186.0,160.0
20.4,271.0,325.0,316.0,374.0,242.0,184.0,154.0
20.5,253.0,337.0,305.0,360.0,207.0,193.0,149.0
20.6,262.0,302.0,331.0,378.0,204.0,168.0,129.0
20.7,225.0,307.0,321.0,347.0,206.0,171.0,126.0
20.8,223.0,304.0,283.0,371.0,177.0,136.0,131.0
20.9,221.0,284.0,293.0,304.0,167.0,143.0,128.0
21.0,232.0,266.0,300.0,292.0,185.0,137.0,125.0
21.1,214.0,286.0,266.0,336.0,176.0,151.0,132.0
21.2,195.0,263.0,271.0,293.0,175.0,156.0,102.0
21.3,194.0,231.0,282.0,268.0,167.0,150.0,107.0
21.4,208.0,246.0,252.0,277.0,162.0,146.0,92.0
21.5,189.0,257.0,262.0,279.0,139.0,161.0,114.0
21.6,164.0,260.0,264.0,249.0,158.0,123.0,92.0
21.7,192.0,229.0,253.0,244.0,162.0,120.0,95.0
21.8,142.0,193.0,242.0,231.0,148.0,139.0,81.0
21.9,167.0,197.0,215.0,262.0,175.0,135.0,89.0
22.0,167.0,198.0,211.0,228.0,147.0,111.0,88.0
22.1,135.0,214.0,229.0,215.0,138.0,123.0,99.0
22.2,133.0,180.0,179.0,211.0,155.0,120.0,71.0
22.3,120.0,169.0,177.0,187.0,141.0,106.0,82.0
22.4,94.0,137.0,138.0,172.0,109.0,123.0,98.0
22.5,87.0,132.0,152.0,158.0,137.0,114.0,99.0
22.6,109.0,141.0,157.0,160.0,127.0,115.0,87.0
22.7,72.0,123.0,140.0,174.0,141.0,112.0,81.0
22.8,73.0,114.0,117.0,136.0,92.0,86.0,72.0
22.9,83.0,106.0,120.0,143.0,96.0,105.0,68.0
23.0,82.0,111.0,111.0,140.0,122.0,117.0,86.0
23.1,71.0,115.0,132.0,122.0,93.0,108.0,61.0
23.2,74.0,62.0,105.0,121.0,99.0,121.0,46.0
23.3,55.0,80.0,82.0,121.0,104.0,84.0,41.0
23.4,57.0,63.0,76.0,108.0,93.0,103.0,54.0
23.5,36.0,65.0,60.0,94.0,80.0,93.0,28.0
23.6,37.0,61.0,66.0,100.0,81.0,95.0,28.0
23.7,30.0,42.0,49.0,80.0,101.0,105.0,27.0
23.8,33.0,52.0,47.0,79.0,91.0,93.0,24.0
23.9,34.0,33.0,48.0,65.0,105.0,111.0,23.0
